district,type,lng,lat,trading_area,school_num,similar_shops_num,human_traffic,subway_num,bus_station_num,residence_num,office_building_num,school_num_rank,similar_shops_num_rank,human_traffic_rank,subway_num_rank,bus_station_num_rank,residence_num_rank,office_building_num_rank,total_score
闵行区,4-优质商圈,121.4271324834166,31.01785421011887,老闵行,14,17,10022,22,150,146,69,226.0,220.0,37.5,225.0,197.5,151.0,211.0,1268.0
闵行区,2-普通商圈,121.40550550177916,31.151684040305017,古美,100,57,1966,96,280,145,130,87.0,155.5,173.5,145.0,39.0,178.0,182.0,960.0
闵行区,4-优质商圈,121.32167192045796,31.223513351507947,华漕,120,23,15236,19,117,125,130,41.0,214.0,11.0,228.0,214.0,234.0,182.0,1124.0
闵行区,4-优质商圈,121.41237437990867,31.111444208549692,春申,120,76,13070,59,198,146,133,41.0,132.5,22.0,196.0,164.0,151.0,163.5,870.0
闵行区,4-优质商圈,121.37323368848709,31.185905299374845,龙柏,29,44,13079,63,242,145,128,190.0,178.0,20.0,187.5,114.5,178.0,192.0,1060.0
海丰县,1-待定商圈,115.22287475392136,22.901090880512317,梅陇,14,13,10022,0,280,96,37,226.0,232.5,37.5,242.5,39.0,238.0,222.0,1237.5
闵行区,4-优质商圈,121.4729552140626,31.05140874732584,吴泾,11,13,12287,140,88,146,44,239.5,232.5,25.0,47.5,224.0,151.0,220.0,1139.5
闵行区,4-优质商圈,121.35883573139762,31.162632089462257,七宝,34,72,15982,53,203,147,139,179.5,135.0,10.0,203.0,158.0,110.5,83.5,879.5
闵行区,4-优质商圈,121.40614701264131,31.1379045699094,南方商城,60,47,18036,80,280,150,129,133.0,173.0,6.0,165.5,39.0,11.5,188.5,716.5
闵行区,1-待定商圈,121.3952425245748,31.160676385523672,万源城,61,45,4087,85,263,150,136,129.5,175.5,115.0,155.0,95.0,11.5,130.0,811.5
闵行区,4-优质商圈,121.38808559659917,31.11445091116218,莘庄,21,80,7410,75,231,148,130,205.0,63.0,60.0,175.5,123.0,71.5,182.0,880.0
闵行区,3-普通商圈（58/赶集）,121.40503154880177,31.16808189495943,漕宝路,80,36,13070,91,280,146,144,103.0,191.0,22.0,150.5,39.0,151.0,15.5,672.0
闵行区,4-优质商圈,121.40424150053349,31.076165798424647,颛桥,120,29,18036,13,149,144,129,41.0,207.0,6.0,238.0,199.0,192.5,188.5,1072.0
闵行区,1-待定商圈,121.39680992015649,31.161351669872342,东兰路,80,43,10022,76,272,147,137,103.0,181.5,37.5,173.0,84.0,110.5,115.0,804.5
闵行区,1-待定商圈,121.39578171443834,31.190704728706958,虹梅路,47,80,18036,93,280,148,133,157.0,63.0,6.0,148.0,39.0,71.5,163.5,648.0
闵行区,3-普通商圈（58/赶集）,121.35932243740848,31.179550983682468,航华,28,70,1966,60,192,150,132,192.0,136.0,173.5,192.5,169.5,11.5,171.0,1046.0
闵行区,1-待定商圈,121.42448793270222,31.01083622275256,江川路,11,24,13070,31,159,143,58,239.5,213.0,22.0,216.5,192.5,202.5,215.0,1301.0
闵行区,1-待定商圈,121.41932749845495,31.145638409379742,锦江乐园,80,55,13170,91,280,150,137,103.0,158.0,19.0,150.5,39.0,11.5,115.0,596.0
闵行区,2-普通商圈,121.4141796951819,31.129107301346284,罗阳,21,49,3972,53,269,148,133,205.0,168.5,118.0,203.0,88.0,71.5,163.5,1017.5
闵行区,3-普通商圈（58/赶集）,121.38930731972657,31.16538062952763,静安新城,42,44,10022,76,232,147,138,171.5,178.0,37.5,173.0,121.5,110.5,100.0,892.0
闵行区,3-普通商圈（58/赶集）,121.37823201570654,31.03266795932885,马桥,120,80,5655,140,104,146,21,41.0,63.0,76.0,47.5,219.0,151.0,227.0,824.5
闵行区,3-普通商圈（58/赶集）,121.51306718591084,31.087438142969194,浦江,120,16,2245,23,186,128,98,41.0,223.5,157.0,223.5,171.0,233.0,202.0,1251.0
闵行区,1-待定商圈,121.39139647810069,31.083836226796993,莘庄工业区,120,60,5669,21,158,141,130,41.0,152.0,75.0,226.5,194.0,215.0,182.0,1085.5
金山区,3-普通商圈（58/赶集）,121.02739757943647,30.89535311177717,枫泾,120,80,232,140,108,145,15,41.0,63.0,232.0,47.5,218.0,178.0,230.5,1010.0
金山区,3-普通商圈（58/赶集）,121.32522665506212,30.735248220415556,金山卫,13,48,800,140,177,149,84,231.5,171.0,218.0,47.5,176.5,38.5,206.5,1089.5
金山区,3-普通商圈（58/赶集）,121.34641334032838,30.725525505932914,石化,11,34,415,140,217,149,114,239.5,195.0,226.0,47.5,137.0,38.5,201.0,1084.5
金山区,3-普通商圈（58/赶集）,121.32262328976844,30.88923995207446,亭林,120,80,2288,140,93,146,10,41.0,63.0,156.0,47.5,221.0,151.0,235.0,914.5
金山区,3-普通商圈（58/赶集）,121.17291294729992,30.900726564978363,朱泾,120,14,338,140,91,149,46,41.0,230.0,229.0,47.5,223.0,38.5,219.0,1028.0
杨浦区,4-优质商圈,121.5097807684356,31.302659966981942,复旦大学,120,80,1081,95,280,145,134,41.0,63.0,212.5,146.5,39.0,178.0,153.5,833.5
杨浦区,4-优质商圈,121.54093669503487,31.293868423280532,黄兴公园,50,78,1041,80,215,149,136,151.5,127.0,214.0,165.5,139.5,38.5,130.0,966.0
杨浦区,4-优质商圈,121.53036199565165,31.28353936946367,控江路,120,80,1081,107,261,149,142,41.0,63.0,212.5,128.0,97.5,38.5,42.5,623.0
城关区,1-待定商圈,103.85315843812249,36.05550051289518,平凉路,33,80,187,36,280,145,130,181.5,63.0,234.0,211.5,39.0,178.0,182.0,1089.0
杨浦区,4-优质商圈,121.51801584691151,31.306362958717653,五角场,120,80,870,81,265,145,131,41.0,63.0,217.0,161.5,92.5,178.0,177.0,930.0
杨浦区,4-优质商圈,121.52307461052972,31.336184170718884,新江湾城,18,11,177,31,152,147,137,212.5,236.5,235.0,216.5,196.0,110.5,115.0,1322.0
杨浦区,4-优质商圈,121.53975097176294,31.324129001033707,中原,25,11,902,16,135,145,138,198.5,236.5,216.0,234.0,207.0,178.0,100.0,1370.0
杨浦区,1-待定商圈,121.53248130332076,31.31583744320525,长海医院,41,80,10812,63,207,149,130,175.5,63.0,35.0,187.5,152.5,38.5,182.0,834.0
杨浦区,2-普通商圈,121.51728402725578,31.306272435723947,大学区,120,80,129,83,266,148,129,41.0,63.0,238.5,158.0,91.0,71.5,188.5,851.5
杨浦区,1-待定商圈,121.52768796192507,31.2752000141459,江浦路,80,44,1150,99,264,149,143,103.0,178.0,208.5,138.5,94.0,38.5,29.0,789.5
杨浦区,2-普通商圈,121.51944423922289,31.281421066303242,鞍山,120,80,129,128,280,147,144,41.0,63.0,238.5,103.5,39.0,110.5,15.5,611.0
杨浦区,3-普通商圈（58/赶集）,121.52414692319209,31.280428498804376,新华医院,120,80,1150,112,280,148,144,41.0,63.0,208.5,121.0,39.0,71.5,15.5,559.5
杨浦区,3-普通商圈（58/赶集）,121.5356820818715,31.27287430612558,长阳路,46,32,1150,83,233,150,144,160.0,199.5,208.5,158.0,120.0,11.5,15.5,873.0
杨浦区,4-优质商圈,121.53983818247227,31.286634141029552,杨浦公园,52,77,1150,73,207,149,136,148.0,129.5,208.5,179.0,152.5,38.5,130.0,986.0
杨浦区,1-待定商圈,121.5397835550478,31.29180850926899,延吉,60,79,1150,83,220,147,132,133.0,126.0,208.5,158.0,133.0,110.5,171.0,1040.0
普陀区,4-优质商圈,121.44291654721948,31.24566165191527,长寿路,64,80,9440,140,280,148,141,125.5,63.0,45.5,47.5,39.0,71.5,55.0,447.0
杨浦区,3-普通商圈（58/赶集）,121.52585605451785,31.273927672039374,周家嘴路,80,42,1150,107,270,147,144,103.0,184.5,208.5,128.0,86.5,110.5,15.5,836.5
普陀区,4-优质商圈,121.40767861812255,31.23705456935842,华师大,55,80,13488,131,280,146,139,143.5,63.0,17.0,99.0,39.0,151.0,83.5,596.0
普陀区,4-优质商圈,121.43729413207694,31.26953583477088,甘泉路,43,51,4216,81,280,148,142,168.0,164.5,111.0,161.5,39.0,71.5,42.5,758.0
